threshold,precision,recall,f1
0.2,0.9674620390455532,0.9673121611154144,0.9673870942753118
0.20500000000000002,0.9680421967111387,0.9666924864446166,0.9673668707852104
0.21000000000000002,0.9695273631840796,0.9660728117738188,0.9677970047334523
0.21500000000000002,0.9708813453752725,0.9659178931061193,0.9683932592995262
0.22000000000000003,0.9714642133167004,0.965143299767622,0.9682934410941871
0.225,0.9721961886910341,0.9642137877614253,0.9681885354281714
0.23,0.9726348709929633,0.9635941130906274,0.9680933852140078
0.23500000000000001,0.973688332028191,0.963129357087529,0.9683800623052959
0.24000000000000002,0.9745842485095702,0.9623547637490317,0.9684308987450307
0.24500000000000002,0.9753454773869347,0.9621998450813323,0.9687280667550495
0.25,0.976407675369613,0.9617350890782339,0.9690158432841646
0.255,0.9768576826196473,0.9612703330751355,0.9690013273990786
0.26,0.9771617577571271,0.9611154144074361,0.9690721649484536
0.265,0.978079167323766,0.9608055770720372,0.9693654266958425
0.27,0.9793016274292937,0.9601859024012394,0.9696495619524406
0.275,0.9799177735610373,0.9600309837335399,0.9698724469833321
0.28,0.9802246479987344,0.9598760650658404,0.9699436443331246
0.28500000000000003,0.9809976247030879,0.959721146398141,0.9702427564604542
0.29000000000000004,0.9816106531388713,0.9592563903950426,0.9703047872757189
0.29500000000000004,0.9819162436548223,0.9589465530596437,0.9702954777020143
0.30000000000000004,0.9823809523809524,0.9587916343919443,0.9704429635437084
0.30500000000000005,0.982681919288211,0.9581719597211464,0.9702721782100557
0.31000000000000005,0.9831424936386769,0.9577072037180481,0.9702581809620968
0.31500000000000006,0.9837527875119465,0.9567776917118512,0.9700777507264589
0.32000000000000006,0.9839043824701196,0.9564678543764523,0.9699921445404556
0.32500000000000007,0.9850007978299027,0.9563129357087529,0.9704448986008489
0.33000000000000007,0.9853082082401788,0.9558481797056545,0.9703546433907368
0.3350000000000001,0.9857782038990093,0.955693261037955,0.9705026350979312
0.34,0.9864021756518957,0.9552285050348567,0.9705650873603022
0.34500000000000003,0.9865556978233034,0.9549186676994578,0.9704794143115799
0.35000000000000003,0.9870275464445868,0.9547637490317583,0.9706276084731081
