threshold,precision,recall,f1
0.2,0.8429063756461803,0.9093725793958172,0.8748789030479172
0.20500000000000002,0.8448325635103926,0.9067389620449264,0.8746917731450348
0.21000000000000002,0.8463881636205396,0.9039504260263361,0.874222788223837
0.21500000000000002,0.8477024070021881,0.9002323780015492,0.8731780616078136
0.22000000000000003,0.8495666225943881,0.8958946553059643,0.8721158196350475
0.225,0.8512177121771217,0.8934159566227731,0.871806500377929
0.23,0.8518024032042724,0.8895429899302866,0.8702637162776599
0.23500000000000001,0.8522930315664086,0.8867544539116964,0.869182294434743
0.24000000000000002,0.8536731634182908,0.8821068938807126,0.8676571428571429
0.24500000000000002,0.8558708119529128,0.8785437645236251,0.8670590933414877
0.25,0.8574677786201668,0.8760650658404338,0.8666666666666667
0.255,0.8582305466727578,0.8731216111541441,0.865612041161112
0.26,0.8593702231733414,0.8709527498063516,0.8651227206278372
0.265,0.8605008449838685,0.8676994577846631,0.8640851589015736
0.27,0.8611325412744947,0.8646010844306738,0.8628633271490415
0.275,0.8621546103694505,0.8604182804027886,0.8612855702876638
0.28,0.8638277959756668,0.8579395817195972,0.8608736203948391
0.28500000000000003,0.8650047036688617,0.8546862896979086,0.8598145406374191
0.29000000000000004,0.8661516632508277,0.851123160340821,0.8585716518205969
0.29500000000000004,0.8679873217115689,0.8484895429899303,0.8581276929103016
0.30000000000000004,0.8705357142857143,0.8458559256390396,0.8580183861082737
0.30500000000000005,0.8718359500160205,0.8430673896204492,0.8572103646530677
0.31000000000000005,0.8745762711864407,0.8393493415956623,0.856600790513834
0.31500000000000006,0.8757713543358233,0.8354763749031758,0.8551494489812098
0.32000000000000006,0.8790507364975451,0.8320681642137877,0.8549144448865897
0.32500000000000007,0.8809092406522814,0.8285050348567002,0.8539038799297461
0.33000000000000007,0.8817008603573793,0.8255615801704105,0.8527082166573325
0.3350000000000001,0.8834192582737402,0.8229279628195197,0.8521013795316009
0.34,0.8851113716295428,0.8187451587916343,0.8506357637212297
0.34500000000000003,0.8871293800539084,0.8158017041053447,0.8499717536921959
0.35000000000000003,0.888361849906827,0.8123934934159566,0.848681016345687
0.35500000000000004,0.8901023890784983,0.8080557707203718,0.8470970361347949
0.36000000000000004,0.8914981145011999,0.8057319907048799,0.8464480429652534
0.36500000000000005,0.8927341597796143,0.8032532920216886,0.8456332055777542
0.37000000000000005,0.8954293628808865,0.8012393493415957,0.845719892077508
0.37500000000000006,0.896431679721497,0.7978311386522076,0.8442622950819673
0.38000000000000006,0.8972878390201224,0.7944229279628195,0.8427280197206245
0.385,0.8996478873239436,0.7916343919442292,0.842192006592501
0.39,0.9010444326429456,0.7885360185902401,0.841044282881692
0.395,0.9012433392539965,0.7860573199070487,0.839718659495242
0.4,0.9021078956770275,0.7823392718822618,0.8379656517049697
0.405,0.9032315978456015,0.7793958171959721,0.8367567567567568
0.41000000000000003,0.9045470949115842,0.7766072811773819,0.8357089272318079
0.41500000000000004,0.90666424550572,0.7735089078233928,0.8348102324026082
0.42000000000000004,0.9085432639649507,0.7710302091402014,0.834157378697729
0.42500000000000004,0.9099926524614255,0.7674670797831139,0.8326750147071182
0.43000000000000005,0.9115797262301147,0.763439194422928,0.8309586038276705
0.43500000000000005,0.9133345731820718,0.7608055770720372,0.8301217038539553
0.44000000000000006,0.9154033314617256,0.757707203718048,0.829123580267842
0.44500000000000006,0.9168547780285929,0.7550735863671573,0.8281369467334976
0.45000000000000007,0.9188882586500283,0.7529047250193648,0.8276566757493188
0.45500000000000007,0.921258341277407,0.74856700232378,0.825982905982906
0.4600000000000001,0.9228110599078341,0.7445391169635941,0.8241447312012347
0.4650000000000001,0.9246231155778895,0.7411309062742061,0.8227706595580015
0.4700000000000001,0.925990675990676,0.7384972889233152,0.8216840472291649
0.4750000000000001,0.9278310189712498,0.7349341595662278,0.8201936376210235
0.48000000000000004,0.9291617473435655,0.7315259488768396,0.8185836872670538
0.48500000000000004,0.9310754604872252,0.7282726568551511,0.8172809457579973
0.49000000000000005,0.9331870761866773,0.724864446165763,0.8159386171418607
0.49500000000000005,0.9339092004821213,0.7202168861347792,0.8132598618035511
0.5,0.9351121892055791,0.7166537567776917,0.8114365900719172
0.5050000000000001,0.9376146788990826,0.7124709527498063,0.8096830985915493
