threshold,precision,recall,f1
0.2,0.9677569369090063,0.967157242447715,0.9674569967456996
0.20500000000000002,0.968944099378882,0.9666924864446166,0.9678169833268708
0.21000000000000002,0.9698336184108226,0.9662277304415182,0.9680273164674841
0.21500000000000002,0.970272373540856,0.9657629744384199,0.9680124223602484
0.22000000000000003,0.9712993292778038,0.9646785437645237,0.9679776154204881
0.225,0.9726477024070022,0.9640588690937258,0.9683342410332219
0.23,0.9730955732832786,0.9637490317583268,0.9683997509339975
0.23500000000000001,0.9741500861663794,0.9632842757552285,0.9686867113257517
0.24000000000000002,0.9747490589711418,0.9628195197521301,0.9687475644922453
0.24500000000000002,0.9762727844123193,0.9625096824167312,0.9693423824011234
0.25,0.977183320220299,0.9620449264136328,0.9695550351288056
0.255,0.9774838608093214,0.9617350890782339,0.9695455255349055
0.26,0.9780895334174022,0.9612703330751355,0.9696070005469177
0.265,0.9785488958990536,0.9611154144074361,0.9697538100820633
0.27,0.9794693619709413,0.9608055770720372,0.970047704700086
0.275,0.9803921568627451,0.9604957397366383,0.9703419672900853
0.28,0.9810066476733144,0.9601859024012394,0.9704846159868472
0.28500000000000003,0.981311371555274,0.9598760650658404,0.970475370036808
0.29000000000000004,0.9819277108433735,0.9595662277304415,0.9706181932147614
0.29500000000000004,0.9826984126984127,0.9591014717273432,0.9707565660525285
0.30000000000000004,0.9830050825921219,0.9587916343919443,0.9707473923613834
0.30500000000000005,0.9830023828435266,0.9586367157242448,0.9706666666666667
0.31000000000000005,0.9836195928753181,0.9581719597211464,0.9707290277014832
0.31500000000000006,0.9839223177332059,0.9575522850503486,0.9705582162204601
0.32000000000000006,0.9846963175514108,0.9569326103795507,0.9706159648020113
0.32500000000000007,0.9853175869773381,0.9564678543764523,0.9706784057857086
0.33000000000000007,0.9860955729582868,0.9558481797056545,0.9707363121460038
0.3350000000000001,0.9867157490396927,0.9550735863671572,0.9706368574352515
0.34,0.9867136225388187,0.9549186676994578,0.9705558179814202
0.34500000000000003,0.9875,0.9546088303640589,0.9707758960220559
0.35000000000000003,0.9881258023106547,0.953989155693261,0.9707574682746118
0.35500000000000004,0.9882825040128411,0.9538342370255616,0.9707528577059519
0.36000000000000004,0.9890657662003538,0.9529047250193649,0.9706485718794382
0.36500000000000005,0.9893805309734514,0.9525948876839659,0.9706393054459352
0.37000000000000005,0.9893788220148053,0.9524399690162665,0.9705580550951141
0.37500000000000006,0.9898550724637681,0.952285050348567,0.9707066719305172
0.38000000000000006,0.9904930712213986,0.952285050348567,0.9710133480767712
0.385,0.9909677419354839,0.9518202943454687,0.9709996048992493
0.39,0.9916034232197642,0.9513555383423703,0.9710626185958254
0.395,0.9917542441390461,0.950271107668474,0.9705696202531645
0.4,0.992073762536396,0.9501161890007745,0.9706417662419878
0.405,0.9925518134715026,0.9496514329976762,0.9706278204417702
0.41000000000000003,0.9927113702623906,0.9494965143299767,0.9706231688969831
0.41500000000000004,0.9928698752228164,0.9491866769945778,0.9705369871693331
0.42000000000000004,0.9933517107183395,0.9490317583268784,0.970686103628585
0.42500000000000004,0.9933484750162233,0.94856700232378,0.9704413978920675
0.43000000000000005,0.9935043845404352,0.9477924089852827,0.9701102037580275
0.43500000000000005,0.9935012185215272,0.9473276529821844,0.9698651863600317
0.44000000000000006,0.9936595675499919,0.946862896979086,0.9696969696969697
0.44500000000000006,0.9944625407166123,0.9459333849728893,0.969591107582374
0.45000000000000007,0.9946192727865645,0.9450038729666925,0.969176993962504
0.45500000000000007,0.9947763630427685,0.9440743609604957,0.9687624195215007
0.4600000000000001,0.9949354680607744,0.9434546862896979,0.9685114503816794
0.4650000000000001,0.9952575633687654,0.9428350116189,0.9683373110580747
0.4700000000000001,0.9957418932197838,0.9419054996127033,0.9680757901440968
0.4750000000000001,0.995740498034076,0.9415956622773044,0.9679114579186241
0.48000000000000004,0.9959009673717003,0.9409759876065066,0.9676597100525729
0.48500000000000004,0.9960584660863853,0.9395817195972115,0.9669961734693877
0.49000000000000005,0.9962189709025152,0.9388071262587142,0.9666613494975275
0.49500000000000005,0.9965437788018433,0.9380325329202169,0.9664033197669779
0.5,0.9970341077607514,0.937412858249419,0.9663046949856275
0.5050000000000001,0.9971974942301352,0.9371030209140201,0.9662167558501717
0.51,0.9973593002145569,0.9361735089078234,0.9657983058973949
0.5150000000000001,0.9975206611570248,0.9349341595662277,0.9652139144342263
0.52,0.9975181998676373,0.934004647560031,0.9647171773741899
0.5250000000000001,0.997516967389505,0.9335398915569326,0.9644686299615877
0.53,0.9975153221798907,0.9329202168861348,0.9641370477105348
0.5350000000000001,0.9978441127694859,0.9321456235476375,0.9638766519823788
0.54,0.9978416071725054,0.9310611928737413,0.9632953999038307
0.5450000000000002,0.9978387364921031,0.9298218435321456,0.9626303127506014
0.55,0.9980026631158455,0.9288923315259489,0.9622081360828051
0.5550000000000002,0.9981672775741419,0.9281177381874516,0.9618688287709721
0.56,0.9981657495414373,0.9273431448489543,0.9614519755862512
0.5650000000000001,0.9981636060100167,0.9262587141750581,0.9608678184009642
0.5700000000000001,0.9981611501170177,0.9250193648334625,0.960199405001206
0.5750000000000001,0.9981593038821954,0.9240898528272656,0.9596975303676293
0.5800000000000001,0.998156836461126,0.92285050348567,0.959027610078081
0.5850000000000001,0.9981552909609257,0.9220759101471727,0.9586084715735224
0.5900000000000001,0.9981546720348935,0.9217660728117738,0.9584407216494846
0.5950000000000001,0.998320174701831,0.9206816421378776,0.9579303675048356
0.6000000000000001,0.9984861227922625,0.9195972114639814,0.9574193548387097
0.6050000000000001,0.9984848484848485,0.9188226181254842,0.9569987898346107
0.6100000000000001,0.9984840828701365,0.9183578621223858,0.9567462879276953
0.6150000000000001,0.9984828051247472,0.9175832687838884,0.9563251796237991
0.6200000000000001,0.9984812689841377,0.9166537567776917,0.9558194006946127
0.6250000000000001,0.9984804997467499,0.9161890007745933,0.9555663273549847
0.6300000000000001,0.9984784446322907,0.9149496514329977,0.954890864995958
0.6350000000000001,0.99847689964461,0.9140201394268009,0.9543836945972177
0.6400000000000001,0.9984753515161782,0.9130906274206042,0.9538760317203431
0.645,0.9984743176809628,0.9124709527498064,0.9535373158491177
0.6500000000000001,0.998473023413641,0.9116963594113091,0.9531136124382541
0.655,0.9984709480122325,0.9104570100697134,0.9524349728547119
0.6600000000000001,0.9984704282800816,0.9101471727343144,0.9522651754599238
0.665,0.9984683458134785,0.9089078233927188,0.9515854350823129
0.6700000000000002,0.9984667802385009,0.9079783113865221,0.9510750507099391
0.675,0.9984657347425844,0.9073586367157243,0.9507345183020859
0.6800000000000002,0.9984633771555403,0.9059643687064292,0.9499675113710201
0.685,0.9984602224123182,0.9041053446940356,0.9489430894308943
0.6900000000000002,0.9984570546888394,0.9022463206816421,0.9479166666666666
0.6950000000000001,0.9984549356223176,0.9010069713400465,0.9472312703583062
0.7000000000000002,0.9984536082474227,0.9002323780015492,0.9468024439918533
0.7050000000000001,0.9984517460863581,0.899147947327653,0.9462014998369742
0.7100000000000002,0.9984496124031008,0.8979085979860573,0.9455138662316477
0.7150000000000001,0.9986194995685936,0.8965143299767622,0.9448163265306122
0.7200000000000002,0.9986185460196857,0.8958946553059643,0.9444716642168871
0.7250000000000001,0.9986175911525834,0.8952749806351665,0.9441267766704787
0.7300000000000002,0.9986151981997576,0.893725793958172,0.9432635709614127
0.7350000000000001,0.9986135181975736,0.8926413632842758,0.9426584867075665
0.7400000000000002,0.9986120749479528,0.8917118512780791,0.9421392912676978
0.7450000000000001,0.9986091794158554,0.8898528272656855,0.9410993692143852
0.7500000000000002,0.9986074847693647,0.8887683965917893,0.9404918032786885
0.7550000000000001,0.9986057859881492,0.8876839659178931,0.9398835397359141
0.76,0.9986038394415357,0.8864446165762975,0.9391875256462864
0.7650000000000001,0.9986023759608665,0.8855151045701007,0.9386649150176534
0.77,0.9986004198740378,0.884275755228505,0.9379672993180511
0.7750000000000001,0.9985984583041345,0.8830364058869093,0.9372687659294582
0.78,0.9985964912280701,0.8817970565453137,0.9365693130399013
0.7850000000000001,0.9985937774652839,0.8800929512006197,0.9356060606060606
0.79,0.9985908050026422,0.8782339271882261,0.9345532476096274
0.7950000000000002,0.9985883183342157,0.8766847405112316,0.933674311169774
0.8,0.9985855728429985,0.8749806351665376,0.9327058046404095
